	given_date	apparent_date	residual
A/swine/Chile/YA026/2014|1B.2.2|LAIV-98|PPPPPP|2014-01-01	2014.0	1998.1559081042533	-6.609097869366056
A/swine/Oklahoma/A02245006/2019|1A.2-3-like|LAIV-98|TTTPPT|2019-03-07	2019.18	2000.8638006608433	-7.640296132074614
A/swine/Nebraska/A02479104/2020|1A.2-3-like|LAIV-98|LLLLPT|2020-02-25	2020.15	2000.7591344688262	-8.08857515536438
A/swine/Oklahoma/A01785571/2018|1A.2-3-like|LAIV-Classical|LTLLPT|2018-06-12	2018.44	2000.594878879735	-7.443793734002908
A/swine/Oklahoma/A01785573/2018|1A.2-3-like|LAIV-Classical|LTLLPT|2018-06-14	2018.45	2000.594878879735	-7.447965066707222
A/swine/Minnesota/A02245535/2020|1A.2-3-like|LAIV-Classical|LLLPPT|2020-03-19	2020.22	2001.0826973297421	-7.98280564993242
A/swine/Illinois/A02157797/2018|1A.2-3-like|LAIV-Classical|TTLTPT|2018-04-11	2018.28	2000.7569594747958	-7.309443202045201
A/swine/Minnesota/A01785575/2018|1A.2-3-like|LAIV-98|TLLTPT|2018-06-19	2018.46	2000.5948654061	-7.452142019712851
A/swine/Minnesota/A01785613/2018|1A.2-3-like|LAIV-98|TLLTPT|2018-09-10	2018.68	2001.2455868419358	-7.272473778540949
A/swine/Minnesota/A01785608/2018|1A.2-3-like|LAIV-98|TLLTPT|2018-08-30	2018.66	2001.2463119231168	-7.263828657648307
A/swine/Nebraska/A02245333/2019|1A.2-3-like|2002A|TLLPPT|2019-11-12	2019.85	2002.2278834603933	-7.350771103953527
A/swine/Nebraska/A01378044/2019|1A.2-3-like|2002B|TLLPPT|2019-05-23	2019.39	2001.4092014353105	-7.50038931011847
A/swine/Nebraska/A02245334/2019|1A.2-3-like|2002B|TLLPPT|2019-11-12	2019.85	2002.0736866884797	-7.415091707710629
A/swine/Iowa/A02432384/2019|1A.2-3-like|LAIV-Classical|TTTPPT|2019-04-17	2019.29	2000.9194220723643	-7.662979250527693
A/swine/Iowa/A02478477/2019|1A.2-3-like|LAIV-Classical|TTTPPT|2019-05-07	2019.35	2001.0811593392405	-7.620541251671756
A/swine/Texas/A01104132/2019|1A.2-3-like|LAIV-Classical|LTTLPT|2019-05-30	2019.41	2000.9216749140646	-7.712095507752426
A/swine/California/A02478680/2019|1A.2-3-like|LAIV-Classical|LLLLPT|2019-09-17	2019.7	2001.5726720603977	-7.561511587488909
A/swine/Nebraska/A02157974/2018|1A.2-3-like|LAIV-Classical|TLLLLT|2018-04-18	2018.3	2000.9213206073623	-7.2492253706956555
A/swine/Iowa/A02271349/2018|1A.2-3-like|pdm|LLPLPP|2018-12-04	2018.92	2000.5947231843954	-7.644082649512495
A/swine/South_Dakota/A02156993/2018|1A.2-3-like|LAIV-Classical|TLLLPT|2018-03-22	2018.22	2000.5949088211464	-7.352011924950756
A/swine/Illinois/A02431144/2019|1A.2-3-like|LAIV-Classical|TLLTPT|2019-02-22	2019.14	2000.7567446451687	-7.668267427194577
A/swine/Texas/A01785906/2019|1A.2-3-like|LAIV-Classical|LLLLPP|2019-01-23	2019.06	2000.5947903030597	-7.70245330994396
A/swine/North_Carolina/A02245875/2021|1A.2-3-like|LAIV-Classical|TTTTPT|2021-01-21	2021.06	2000.5947785760068	-8.536724742535252
A/swine/North_Carolina/A02479173/2020|1A.2-3-like|pdm|PPPLPP|2020-03-25	2020.23	2000.4329637109724	-8.258002491938507
A/swine/Nebraska/A02257618/2018|1A.2-3-like|LAIV-Classical|LLLLPT|2018-09-21	2018.72	2000.9193604429593	-7.425238994061569
A/swine/Iowa/A02254795/2018|1A.2-3-like|LAIV-Classical|LLLLPT|2018-07-30	2018.58	2001.0815498251486	-7.299185748781743
A/swine/Oklahoma/A02246973/2021|1A.2-3-like|LAIV-Classical|LLLLPT|2021-10-06	2021.76	2001.8977946193393	-8.285186688262133
A/swine/Kansas/A02636184/2021|1A.2-3-like|LAIV-Classical|LLLLPT|2021-09-21	2021.72	2001.7358068426536	-8.336071848502439
A/swine/Oklahoma/A02248197/2021|1A.2-3-like|LAIV-Classical|LLLLPT|2021-09-15	2021.7	2001.4074790556162	-8.46468562667179
A/swine/Oklahoma/A02246915/2022|1A.2-3-like|LAIV-Classical|LLLLPT|2022-01-07	2022.02	2002.0565265170408	-8.327428982963466
A/swine/Colorado/A02636469/2022|1A.2-3-like|LAIV-Classical|LLLLPT|2022-02-04	2022.09	2001.731696136373	-8.492125870914018
A/swine/Missouri/A01932424/2017|1A.3.2|classicalSwine|PPPPPP|2017-02-22	2017.14	2027.5609154662764	4.346910549256599
