#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/swine/Colorado/A01785307/2017|1B.2.2.1|1998A|TTTTPT|2017-10-03, 2017.75, 1.352243, -0.006956
A/swine/Colorado/A01785758/2018|1B.2.2.1|1998A|TTTTPT|2018-11-15, 2018.86, 1.356889, -0.006389
A/swine/Colorado/A02245372/2019|1B.2.2.1|1998A|TTTTPT|2019-12-31, 2019.99, 1.362474, -0.004958
A/swine/Colorado/A02245827/2020|1B.2.2.1|1998A|TTTTPT|2020-12-09, 2020.93, 1.364830, -0.006057
A/swine/Kansas/A02245678/2020|1B.2.2.1|1998A|TTTTPT|2020-07-02, 2020.5, 1.363739, -0.005567
A/swine/Kansas/A02245718/2020|1B.2.2.1|1998A|TTTTPT|2020-09-21, 2020.72, 1.363770, -0.006345
A/swine/Colorado/A02245733/2020|1B.2.2.1|1998A|TTTTPT|2020-10-06, 2020.76, 1.359064, -0.011198
A/swine/Colorado/A02246985/2021|1B.2.2.1|1998A|TTLTPT|2021-11-03, 2021.83, 1.363689, -0.010506
A/swine/Illinois/A01240830/2011|1A.3.3.3|LAIV-98|TTTTTT|2011-12-30, 2011.99, 1.319339, -0.018689
A/swine/South_Dakota/A01349341/2013|1B.2.2.2|1998A|TTPPPT|2013-03-13, 2013.2, 1.335037, -0.007438
A/swine/Illinois/A02216460/2017|1B.2.2.2|1998A|TTPPPT|2017-05-24, 2017.39, 1.352110, -0.005766
A/swine/Iowa/A01202809/2011|1B.2.1|1998A|TTTTTT|2011-11-07, 2011.84, 1.333296, -0.004181
A/swine/Iowa/A01049766/2011|1B.2.2|1998A|TTTTPT|2011-03-29, 2011.24, 1.318814, -0.016457
A/swine/Iowa/A01049765/2011|1B.2.2|1998A|TTTTPT|2011-03-29, 2011.24, 1.318814, -0.016457
A/swine/Oklahoma/A02245577/2020|1A.3.3.2|LAIV-98|TLLPPT|2020-03-24, 2020.23, 1.275017, -0.093297
A/swine/Nebraska/A01378047/2021|1B.2.2.2|LAIV-98|LLLLPT|2021-01-28, 2021.08, 1.275768, -0.095670
A/swine/Minnesota/A01785557/2018|1A.3.3.3|LAIV-98|TTLPPT|2018-05-31, 2018.41, 1.273478, -0.088147
A/swine/Iowa/A02478443/2019|1A.3.3.2|LAIV-98|LLLLPP|2019-04-26, 2019.32, 1.273478, -0.091492
A/swine/Minnesota/A01785575/2018|1A.2-3-like|LAIV-98|TLLTPT|2018-06-19, 2018.46, 1.275016, -0.086792
A/swine/Minnesota/A01785613/2018|1A.2-3-like|LAIV-98|TLLTPT|2018-09-10, 2018.68, 1.275012, -0.087605
A/swine/Minnesota/A01785608/2018|1A.2-3-like|LAIV-98|TLLTPT|2018-08-30, 2018.66, 1.276548, -0.085996
A/swine/Illinois/A02479149/2020|1A.1.1|LAIV-98|TLLTPT|2020-03-19, 2020.22, 1.281936, -0.086342
A/swine/Illinois/A02524676/2020|1A.1.1|LAIV-98|TLLTPT|2020-09-28, 2020.73, 1.285010, -0.085142
A/swine/Iowa/A02478498/2019|1B.2.1|LAIV-98|TTTTPT|2019-05-16, 2019.37, 1.277394, -0.087759
A/swine/Illinois/A02479030/2020|1A.1.1|LAIV-98|TLLTPT|2020-01-02, 2020.01, 1.278929, -0.088576
A/swine/Nebraska/A02479104/2020|1A.2-3-like|LAIV-98|LLLLPT|2020-02-25, 2020.15, 1.275783, -0.092238
A/swine/Iowa/A02479204/2020|1B.2.2.1|LAIV-98|TLLTPT|2020-04-08, 2020.27, 1.279650, -0.088811
A/swine/Iowa/A02525361/2021|1B.2.2.1|LAIV-98|TLLTPT|2021-04-09, 2021.27, 1.281229, -0.090908
A/swine/Indiana/A02635972/2021|1B.2.2.1|LAIV-98|TLLTPT|2021-07-13, 2021.53, 1.282787, -0.090306
