#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/swine/Chile/YA026/2014|1B.2.2|LAIV-98|PPPPPP|2014-01-01, 2014.0, 0.210135, -0.062920
A/swine/Indiana/A01076177/2009|1B.2.1|2002|TTTTTT|2009-12-06, 2009.92, 0.246978, -0.008710
A/swine/Iowa/A01202809/2011|1B.2.1|1998A|TTTTTT|2011-11-07, 2011.84, 0.256941, -0.006920
A/swine/Iowa/A01202083/2011|1B.2.1|2002|PTPTPT|2011-06-14, 2011.45, 0.257398, -0.004803
A/swine/Illinois/A01076954/2010|1B.2.1|2002|PTPTPT|2010-11-14, 2010.86, 0.254232, -0.005457
A/swine/Illinois/A01047080/2010|1B.2.1|2002|PTPTPT|2010-11-29, 2010.9, 0.253580, -0.006280
A/swine/Illinois/A01047054/2010|1B.2.1|2002|PTPTPT|2010-11-29, 2010.9, 0.253580, -0.006280
A/swine/Illinois/A01076955/2010|1B.2.1|2002|PTPTPT|2010-11-14, 2010.86, 0.254231, -0.005459
A/swine/Illinois/A01047048/2010|1B.2.1|2002|PTPTPT|2010-11-29, 2010.9, 0.253580, -0.006280
A/swine/North_Carolina/A01076185/2010|1B.2.1|1998B|PPPTPP|2010-01-10, 2010.03, 0.249177, -0.006979
A/swine/Ohio/A01279763/2012|1B.2.1|2002A|TTTTPT|2012-12-05, 2012.92, 0.258501, -0.009957
A/swine/Ohio/A01349140/2013|1B.2.1|2002A|TTTTPT|2013-02-27, 2013.16, 0.261790, -0.007690
A/swine/Ohio/A01349559/2013|1B.2.1|2002A|TTTTPT|2013-03-26, 2013.24, 0.265063, -0.004757
A/swine/Ohio/A01351184/2013|1B.2.1|2002A|TTTTPT|2013-06-14, 2013.45, 0.261780, -0.008935
A/swine/Indiana/A01202298/2011|1B.2.1|1998B|TTTTTT|2011-06-28, 2011.49, 0.255120, -0.007252
A/swine/Michigan/A01259001/2012|1B.2.1|1998B|TTTTTT|2012-09-27, 2012.73, 0.256394, -0.011255
A/swine/South_Carolina/A01782474/2016|1B.2.1|1998B|TTTTTT|2016-10-18, 2016.79, 0.273807, -0.011124
A/swine/Pennsylvania/A01944215/2015|1B.2.1|2002A|TTTTPT|2015-09-30, 2015.74, 0.271779, -0.008682
A/swine/South_Carolina/A02214849/2017|1B.2.1|2002A|TTTTPT|2017-03-20, 2017.22, 0.278057, -0.008705
A/swine/South_Carolina/A01671949/2016|1B.2.1|2002A|TTTTPT|2016-12-28, 2016.98, 0.276108, -0.009632
A/swine/South_Carolina/A01932046/2017|1B.2.1|2002A|TTTTPT|2017-02-03, 2017.09, 0.276108, -0.010100
A/swine/North_Carolina/A01076202/2010|1B.2.1|1998B|TTTTTT|2010-03-28, 2010.24, 0.253787, -0.003264
A/swine/North_Carolina/A01076192/2010|1B.2.1|1998B|PTPTPP|2010-02-14, 2010.12, 0.253115, -0.003425
A/swine/North_Carolina/A01290777/2013|1B.2.1|2002B|TTTTPT|2013-10-31, 2013.82, 0.266519, -0.005770
A/swine/North_Carolina/A01048807/2011|1B.2.1|1998B|TTTPTT|2011-11-15, 2011.86, 0.264832, 0.000886
A/swine/North_Carolina/A01270393/2011|1B.2.1|1998B|TTTTTT|2011-12-08, 2011.93, 0.261345, -0.002900
A/swine/North_Carolina/A01410564/2014|1B.2.1|1998B|TTTTPT|2014-03-19, 2014.22, 0.271156, -0.002836
A/swine/North_Carolina/A01290932/2013|1B.2.1|1998B|TTTTPT|2013-12-03, 2013.91, 0.267887, -0.004785
A/swine/Pennsylvania/A02218034/2017|1B.2.1|1998B|TTTPPT|2017-07-05, 2017.51, 0.287943, -0.000053
A/swine/Pennsylvania/A01933903/2017|1B.2.1|1998B|TTTPPT|2017-03-21, 2017.22, 0.283101, -0.003660
